  1: Obj = 1.420e-06, alpha = 3.579e-07, beta = 1.287e-05, eps = 6.623e-11, dual = 3.660e-04, #nonzeros = 32, x-x_p = 2.044e-02 
  2: Obj = 1.277e-06, alpha = 2.159e-09, beta = 1.282e-09, eps = 2.717e-18, dual = 3.355e-04, #nonzeros = 32, x-x_p = 1.009e-04 
  1: Obj = 1.179e-05, alpha = 9.023e-07, beta = 3.259e-05, eps = 9.291e-13, dual = 9.567e-04, #nonzeros = 32, x-x_p = 1.757e-02 
  2: Obj = 1.084e-05, alpha = 1.750e-08, beta = 1.065e-08, eps = 3.166e-19, dual = 8.500e-04, #nonzeros = 32, x-x_p = 3.473e-04 
  3: Obj = 1.084e-05, alpha = 2.701e-10, beta = 1.850e-11, eps = 1.875e-28, dual = 8.495e-04, #nonzeros = 32, x-x_p = 4.273e-06 
  1: Obj = 1.115e-05, alpha = 6.585e-07, beta = 4.390e-05, eps = 1.948e-12, dual = 7.790e-04, #nonzeros = 32, x-x_p = 1.553e-02 
  2: Obj = 1.014e-05, alpha = 1.557e-08, beta = 1.702e-08, eps = 1.061e-18, dual = 6.532e-04, #nonzeros = 32, x-x_p = 4.232e-04 
  3: Obj = 1.014e-05, alpha = 1.744e-10, beta = 1.322e-11, eps = 4.488e-28, dual = 6.530e-04, #nonzeros = 32, x-x_p = 3.636e-06 
  1: Obj = 6.954e-06, alpha = 3.350e-07, beta = 7.069e-05, eps = 7.437e-12, dual = 4.475e-04, #nonzeros = 32, x-x_p = 1.386e-02 
  2: Obj = 6.127e-06, alpha = 1.148e-08, beta = 2.079e-07, eps = 4.948e-17, dual = 3.239e-04, #nonzeros = 32, x-x_p = 4.333e-04 
  3: Obj = 6.125e-06, alpha = 5.622e-10, beta = 1.081e-09, eps = 1.711e-24, dual = 3.285e-04, #nonzeros = 32, x-x_p = 1.588e-05 
  1: Obj = 2.290e-06, alpha = 7.342e-08, beta = 1.647e-04, eps = 7.960e-11, dual = 1.236e-04, #nonzeros = 32, x-x_p = 1.237e-02 
  2: Obj = 2.000e-06, alpha = 4.344e-09, beta = 1.846e-05, eps = 4.703e-14, dual = 4.742e-05, #nonzeros = 32, x-x_p = 2.855e-04 
  3: Obj = 1.962e-06, alpha = 9.200e-10, beta = 5.568e-07, eps = 8.380e-19, dual = 6.161e-05, #nonzeros = 32, x-x_p = 5.505e-05 
  4: Obj = 1.960e-06, alpha = 8.939e-11, beta = 2.701e-09, eps = 7.244e-26, dual = 6.450e-05, #nonzeros = 32, x-x_p = 1.026e-05 
  1: Obj = 3.119e-06, alpha = 3.005e-07, beta = 8.925e-06, eps = 1.717e-11, dual = 6.909e-04, #nonzeros = 31, x-x_p = 1.017e-02 
  2: Obj = 2.929e-06, alpha = 2.923e-09, beta = 1.299e-07, eps = 7.138e-17, dual = 6.645e-04, #nonzeros = 31, x-x_p = 8.162e-05 
  3: Obj = 2.926e-06, alpha = 4.307e-11, beta = 2.658e-10, eps = 6.071e-25, dual = 6.643e-04, #nonzeros = 31, x-x_p = 1.235e-06 
  1: Obj = 1.487e-05, alpha = 5.997e-07, beta = 2.882e-06, eps = 7.465e-16, dual = 1.522e-03, #nonzeros = 31, x-x_p = 8.459e-03 
  2: Obj = 1.473e-05, alpha = 6.580e-09, beta = 1.526e-09, eps = 3.645e-23, dual = 1.498e-03, #nonzeros = 31, x-x_p = 7.880e-05 
  1: Obj = 2.011e-05, alpha = 5.930e-07, beta = 2.561e-06, eps = 5.108e-16, dual = 1.721e-03, #nonzeros = 31, x-x_p = 7.341e-03 
  2: Obj = 1.997e-05, alpha = 8.512e-09, beta = 1.841e-09, eps = 3.009e-23, dual = 1.695e-03, #nonzeros = 31, x-x_p = 8.772e-05 
  1: Obj = 2.354e-05, alpha = 5.564e-07, beta = 2.330e-06, eps = 3.745e-16, dual = 1.810e-03, #nonzeros = 31, x-x_p = 6.509e-03 
  2: Obj = 2.340e-05, alpha = 9.668e-09, beta = 2.146e-09, eps = 2.572e-23, dual = 1.782e-03, #nonzeros = 31, x-x_p = 9.263e-05 
  1: Obj = 2.572e-05, alpha = 5.133e-07, beta = 2.166e-06, eps = 2.939e-16, dual = 1.839e-03, #nonzeros = 31, x-x_p = 5.866e-03 
  2: Obj = 2.559e-05, alpha = 1.036e-08, beta = 2.461e-09, eps = 2.315e-23, dual = 1.811e-03, #nonzeros = 31, x-x_p = 9.570e-05 
  3: Obj = 2.559e-05, alpha = 3.216e-10, beta = 9.349e-13, eps = 6.925e-34, dual = 1.810e-03, #nonzeros = 31, x-x_p = 2.916e-06 
  1: Obj = 2.696e-05, alpha = 4.695e-07, beta = 2.051e-06, eps = 2.440e-16, dual = 1.830e-03, #nonzeros = 31, x-x_p = 5.361e-03 
  2: Obj = 2.684e-05, alpha = 1.074e-08, beta = 2.786e-09, eps = 2.175e-23, dual = 1.801e-03, #nonzeros = 31, x-x_p = 9.770e-05 
  3: Obj = 2.684e-05, alpha = 3.757e-10, beta = 6.454e-12, eps = 4.493e-33, dual = 1.800e-03, #nonzeros = 31, x-x_p = 3.339e-06 
  1: Obj = 2.749e-05, alpha = 4.272e-07, beta = 1.974e-06, eps = 2.139e-16, dual = 1.794e-03, #nonzeros = 31, x-x_p = 4.960e-03 
  2: Obj = 2.737e-05, alpha = 1.087e-08, beta = 3.117e-09, eps = 2.133e-23, dual = 1.765e-03, #nonzeros = 31, x-x_p = 9.902e-05 
  3: Obj = 2.737e-05, alpha = 4.187e-10, beta = 3.354e-12, eps = 2.290e-33, dual = 1.764e-03, #nonzeros = 31, x-x_p = 3.707e-06 
  1: Obj = 2.745e-05, alpha = 3.896e-07, beta = 1.925e-06, eps = 1.956e-16, dual = 1.739e-03, #nonzeros = 31, x-x_p = 4.637e-03 
  2: Obj = 2.734e-05, alpha = 1.079e-08, beta = 3.446e-09, eps = 2.158e-23, dual = 1.708e-03, #nonzeros = 31, x-x_p = 9.977e-05 
  3: Obj = 2.734e-05, alpha = 4.498e-10, beta = 4.238e-12, eps = 2.926e-33, dual = 1.707e-03, #nonzeros = 31, x-x_p = 4.019e-06 
  1: Obj = 2.697e-05, alpha = 3.558e-07, beta = 1.896e-06, eps = 1.851e-16, dual = 1.668e-03, #nonzeros = 31, x-x_p = 4.371e-03 
  2: Obj = 2.686e-05, alpha = 1.054e-08, beta = 3.768e-09, eps = 2.232e-23, dual = 1.637e-03, #nonzeros = 31, x-x_p = 1.000e-04 
  3: Obj = 2.686e-05, alpha = 4.685e-10, beta = 8.792e-12, eps = 6.281e-33, dual = 1.636e-03, #nonzeros = 31, x-x_p = 4.273e-06 
  1: Obj = 2.614e-05, alpha = 3.248e-07, beta = 1.882e-06, eps = 1.798e-16, dual = 1.586e-03, #nonzeros = 31, x-x_p = 4.148e-03 
  2: Obj = 2.605e-05, alpha = 1.013e-08, beta = 4.076e-09, eps = 2.345e-23, dual = 1.554e-03, #nonzeros = 31, x-x_p = 9.970e-05 
  3: Obj = 2.605e-05, alpha = 4.747e-10, beta = 1.058e-11, eps = 7.942e-33, dual = 1.553e-03, #nonzeros = 31, x-x_p = 4.463e-06 
  1: Obj = 2.506e-05, alpha = 2.954e-07, beta = 1.879e-06, eps = 1.780e-16, dual = 1.495e-03, #nonzeros = 31, x-x_p = 3.957e-03 
  2: Obj = 2.497e-05, alpha = 9.595e-09, beta = 4.352e-09, eps = 2.479e-23, dual = 1.464e-03, #nonzeros = 31, x-x_p = 9.885e-05 
  1: Obj = 2.378e-05, alpha = 2.680e-07, beta = 1.884e-06, eps = 1.800e-16, dual = 1.399e-03, #nonzeros = 31, x-x_p = 3.788e-03 
